age	gender	daily.views
21	Female	127.9
30	Male	7.8
62	Male	118.4
57	Female	3.4
33	Female	11.2
41	Female	15.5
13	Female	6.3
33	Female	78.2
50	Male	11.6
13	Male	10.3
40	Female	144.7
57	Female	69.6
60	Female	18.9
45	Female	1.5
30	Female	92.1
52	Female	49.9
33	Female	12.4
41	Male	47.3
48	Female	346
48	Male	5.8
45	Female	6.2
46	Male	2.5
52	Female	337.1
51	Female	410.2
31	Female	26.8
49	Female	10.5
62	Female	298.1
56	Female	23.2
28	Female	174.4
69	Female	52.5
47	Female	2.7
43	Male	7.1
48	Female	36.8
87	Male	2.4
59	Male	0.7
56	Female	132.7
73	Female	8.5
49	Female	64.9
51	Male	5.3
17	Male	1.9
18	Male	1.9
60	Male	72.2
46	Female	361.5
64	Female	36.6
53	Female	40.4
56	Male	6.8
75	Female	0.4
60	Male	1.2
43	Female	48.9
67	Female	70.1
40	Female	37
48	Female	8.1
28	Female	63.6
22	Female	11.7
47	Female	1.8
21	Female	75.7
39	Female	18.1
27	Female	71.3
65	Male	3.5
10	Female	0.4
6	Male	0.5
22	Female	133.7
41	Female	21.4
33	Male	3.5
33	Male	115.9
35	Male	1.7
45	Female	56
14	Male	17.7
66	Male	221.5
60	Female	31.6
55	Male	16.2
52	Female	3.3
26	Female	35.1
45	Female	146.8
40	Female	11.8
52	Female	327.5
33	Male	31.3
38	Female	168.9
34	Female	177.6
26	Female	66.6
27	Male	5.4
26	Male	80.8
46	Female	3.5
18	Male	103.1
61	Female	38.5
44	Female	42.6
51	Female	6.4
28	Female	5.2
45	Female	173.2
9	Female	36.7
67	Female	29.1
57	Male	89.2
43	Male	3.2
46	Female	4.1
20	Female	2.1
50	Female	105.8
36	Female	351
8	Male	79.3
22	Female	163.4
38	Female	43.6
44	Female	20.6
48	Female	15
55	Female	130.1
37	Female	7.3
43	Male	1.5
11	Male	3.8
28	Female	33.9
29	Male	1
50	Male	14.3
31	Female	13.4
11	Female	82.5
33	Female	42.1
64	Female	349.1
40	Female	486.4
50	Male	85.2
52	Female	67
75	Female	41.4
79	Male	4.2
62	Female	39.6
13	Female	25.4
9	Male	40.1
8	Female	5.7
55	Female	192.8
17	Female	9
33	Female	53.3
35	Male	4.9
55	Female	110.8
21	Male	98.1
37	Male	112.9
46	Female	99.4
45	Male	874.7
65	Male	40.6
28	Female	0.6
50	Male	26.2
26	Female	42.6
37	Female	26.9
10	Female	5.4
53	Male	10.1
60	Male	0.9
55	Female	148.8
26	Male	0.5
22	Female	0.2
